Calories,Protein,Fat,Carbs,Meal,Course,Healthy,Special Nutrition,Cooking Methods,"time, mins",Vegetables,Fruits,Meat,Seafood,Mushrooms,Dairy,Grains,Nuts
103.0,1.0,0.0,26.0,3,1,0,2,3,30,0,1,0,0,0,0,0,0
497.0,3.0,29.0,60.0,4,1,0,2,3,45,0,1,0,0,0,1,1,0
67.0,3.0,4.0,7.0,3,0,0,2,3,20,1,0,0,0,0,1,0,0
69.0,4.0,3.0,7.0,4,4,0,2,3,15,1,0,0,0,0,1,0,0
615.0,37.0,44.0,16.0,4,2,0,2,3,40,1,0,1,0,0,0,0,0
483.0,44.0,25.0,18.0,4,6,0,2,3,35,0,0,1,0,0,0,0,0
215.0,4.0,19.0,11.0,3,0,0,2,3,5,1,1,0,0,0,1,0,0
445.0,18.0,29.0,27.0,4,4,0,2,3,20,0,0,1,0,0,0,0,0
67.0,5.0,5.0,0.0,4,4,1,2,3,20,0,0,1,0,0,0,0,0
459.0,21.0,35.0,16.0,4,4,0,2,3,35,0,0,1,0,0,0,0,0
222.0,17.0,15.0,3.0,4,0,0,2,3,35,0,0,1,1,0,0,0,0
344.0,8.0,7.0,65.0,4,4,1,0,3,5,1,0,0,0,0,0,0,0
371.0,4.0,14.0,60.0,4,4,0,2,3,35,1,0,0,0,0,0,0,0
489.0,21.0,33.0,35.0,4,6,0,2,3,25,1,0,1,0,0,0,1,0
234.0,31.0,8.0,11.0,4,2,0,2,3,25,1,0,0,1,1,0,0,0
180.0,19.0,10.0,3.0,4,4,0,2,3,25,1,1,1,0,0,1,1,0
235.0,32.0,11.0,0.0,4,6,1,2,3,50,1,0,1,0,0,0,0,0
74.0,5.0,4.0,6.0,3,0,0,2,3,30,1,0,1,0,0,0,1,0
269.0,17.0,17.0,13.0,4,6,0,1,3,30,1,0,0,0,0,0,0,0
168.0,6.0,4.0,27.0,4,6,0,2,3,25,1,0,1,0,0,0,1,0
606.0,34.0,51.0,3.0,4,2,0,2,3,20,0,0,0,1,0,0,0,0
245.0,40.0,7.0,3.0,4,6,1,2,3,40,1,0,1,0,0,0,0,0
217.0,2.0,10.0,32.0,4,1,0,2,3,25,0,1,0,0,0,0,1,0
43.0,1.0,2.0,5.0,3,0,0,2,3,18,0,0,0,0,0,0,0,0
282.0,17.0,18.0,14.0,4,2,0,2,3,15,0,0,0,1,0,0,0,0
164.0,19.0,4.0,13.0,1,2,0,2,3,17,1,0,0,1,0,0,1,0
380.0,31.0,27.0,3.0,0,6,0,2,3,35,1,0,1,0,0,1,0,0
399.0,24.0,22.0,27.0,0,6,0,2,3,15,0,0,1,0,0,1,0,0
290.0,4.0,28.0,10.0,4,4,0,2,3,45,1,0,0,0,0,0,0,0
150.0,1.0,6.0,26.0,4,1,0,2,3,16,0,1,0,0,0,0,1,0
94.0,6.0,3.0,13.0,4,4,0,2,3,15,1,0,1,0,0,0,0,0
215.0,8.0,17.0,11.0,4,6,0,2,3,27,1,1,0,0,0,0,0,0
180.0,7.0,4.0,33.0,4,6,0,2,3,30,1,1,1,0,0,0,1,0
441.0,18.0,28.0,38.0,3,0,0,2,3,25,0,0,1,0,0,1,0,0
1106.0,87.0,76.0,16.0,3,0,0,2,3,45,0,0,1,0,0,0,0,0
93.0,8.0,6.0,1.0,3,0,0,2,3,40,0,0,1,0,0,0,0,0
177.0,7.0,2.0,34.0,3,0,1,2,3,30,0,0,1,0,0,0,0,0
215.0,19.0,14.0,2.0,1,2,0,2,3,20,1,0,1,0,0,0,0,0
318.0,27.0,4.0,57.0,3,0,0,2,6,37,1,1,0,1,0,0,0,0
335.0,25.0,13.0,33.0,4,6,0,2,3,275,0,0,1,0,0,1,1,0
99.0,1.0,3.0,19.0,4,6,0,2,3,20,1,1,0,0,0,0,1,0
129.0,1.0,6.0,19.0,4,4,0,2,3,25,1,1,0,0,0,0,0,0
405.0,32.0,24.0,14.0,4,2,0,2,3,22,0,0,0,1,0,0,0,0
170.0,16.0,7.0,12.0,1,2,0,2,5,15,1,0,1,0,0,0,0,0
147.0,3.0,6.0,20.0,4,4,0,2,3,15,1,0,0,0,0,0,0,0
944.0,33.0,53.0,81.0,3,0,0,2,3,130,1,1,0,0,0,1,1,0
822.0,54.0,47.0,42.0,1,2,0,2,3,30,0,0,1,0,0,1,0,0
227.0,5.0,16.0,16.0,0,6,0,2,3,15,0,1,0,0,0,1,1,0
